loc,lOBlank,e,total_Op,i,v,branchCount,n,d,v(g),total_Opnd,lOCode,uniq_Op,uniq_Opnd,defects
1.1,2,1.3,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.2,2,1.2,1.2,False
1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,True
24.0,6,2936.77,44.0,32.54,309.13,9.0,63.0,9.5,5.0,19.0,1,15.0,15.0,False
20.0,3,3447.89,31.0,13.47,215.49,7.0,47.0,16.0,4.0,16.0,0,16.0,8.0,False
24.0,3,5999.58,46.0,19.97,346.13,11.0,72.0,17.33,6.0,26.0,0,16.0,12.0,False
24.0,3,5999.58,46.0,19.97,346.13,11.0,72.0,17.33,6.0,26.0,0,16.0,12.0,False
7.0,1,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,0,4.0,5.0,False
12.0,7,604.36,14.0,14.62,94.01,3.0,23.0,6.43,2.0,9.0,0,10.0,7.0,False
25.0,13,7820.87,69.0,38.51,548.83,9.0,107.0,14.25,5.0,38.0,12,15.0,20.0,False
46.0,22,30377.95,129.0,61.1,1362.41,29.0,239.0,22.3,15.0,110.0,8,15.0,37.0,False
34.0,16,17773.08,96.0,41.24,856.15,9.0,155.0,20.76,5.0,59.0,11,19.0,27.0,False
10.0,4,1287.55,19.0,15.9,143.06,3.0,35.0,9.0,2.0,16.0,2,9.0,8.0,False
23.0,23,21659.58,114.0,27.4,770.38,13.0,157.0,28.12,7.0,43.0,10,17.0,13.0,False
23.0,23,12929.85,70.0,17.45,474.97,13.0,105.0,27.22,7.0,35.0,10,14.0,9.0,False
31.0,40,35852.6,161.0,47.41,1303.73,9.0,231.0,27.5,5.0,70.0,2,22.0,28.0,False
24.0,23,9958.0,80.0,43.1,655.13,9.0,120.0,15.2,5.0,40.0,3,19.0,25.0,False
13.0,8,2480.95,40.0,29.61,271.03,3.0,57.0,9.15,2.0,17.0,6,14.0,13.0,False
6.0,2,222.03,10.0,13.88,55.51,1.0,15.0,4.0,1.0,5.0,1,8.0,5.0,False
33.0,19,8684.99,69.0,64.01,745.68,3.0,135.0,11.65,2.0,66.0,2,12.0,34.0,False
6.0,0,222.03,10.0,13.88,55.51,1.0,15.0,4.0,1.0,5.0,1,8.0,5.0,False
7.0,1,1265.83,15.0,8.79,105.49,3.0,27.0,12.0,2.0,12.0,0,10.0,5.0,False
3.0,0,211.89,9.0,11.07,48.43,1.0,14.0,4.38,1.0,5.0,0,7.0,4.0,False
7.0,0,538.26,16.0,22.65,110.41,1.0,29.0,4.88,1.0,13.0,0,6.0,8.0,False
9.0,1,2417.96,23.0,12.09,170.97,5.0,41.0,14.14,3.0,18.0,0,11.0,7.0,False
11.0,1,3156.61,27.0,14.67,215.22,5.0,49.0,14.67,3.0,22.0,0,12.0,9.0,False
4.0,0,117.0,7.0,13.0,39.0,1.0,13.0,3.0,1.0,6.0,0,4.0,4.0,False
3.0,0,49.13,5.0,7.86,19.65,1.0,7.0,2.5,1.0,2.0,0,5.0,2.0,False
16.0,7,7260.95,43.0,18.87,370.17,7.0,77.0,19.62,4.0,34.0,11,15.0,13.0,False
65.0,33,139798.54,311.0,79.18,3327.01,23.0,541.0,42.02,12.0,230.0,5,19.0,52.0,False
177.0,134,305928.62,499.0,101.81,5580.79,60.0,767.0,54.82,41.0,268.0,63,45.0,110.0,False
14.0,9,2781.99,25.0,12.36,185.47,8.0,41.0,15.0,5.0,16.0,4,15.0,8.0,False
361.0,164,1499684.32,1133.0,157.03,15345.64,110.0,1844.0,97.73,70.0,711.0,37,69.0,251.0,False
76.0,27,62767.66,196.0,60.5,1948.67,24.0,298.0,32.21,13.0,102.0,3,36.0,57.0,False
31.0,4,60566.12,317.0,116.21,2653.0,1.0,461.0,22.83,1.0,144.0,0,13.0,41.0,False
20.0,5,3620.93,46.0,34.17,351.75,5.0,71.0,10.29,3.0,25.0,0,14.0,17.0,False
27.0,7,11802.86,74.0,24.71,540.0,9.0,108.0,21.86,5.0,34.0,4,18.0,14.0,False
15.0,16,1867.89,31.0,36.19,260.0,5.0,52.0,7.18,3.0,21.0,2,13.0,19.0,False
13.0,15,3253.68,34.0,26.75,295.0,7.0,59.0,11.03,4.0,25.0,3,15.0,17.0,False
32.0,42,8852.8,76.0,53.31,686.95,11.0,123.0,12.89,6.0,47.0,5,17.0,31.0,False
25.0,19,9649.29,71.0,48.49,684.05,5.0,120.0,14.11,3.0,49.0,2,19.0,33.0,False
22.0,19,5120.93,41.0,28.43,381.56,7.0,75.0,13.42,4.0,34.0,5,15.0,19.0,False
28.0,15,16332.07,73.0,30.61,707.02,11.0,128.0,23.1,6.0,55.0,5,21.0,25.0,False
18.0,13,15282.02,64.0,25.62,625.77,3.0,122.0,24.42,2.0,58.0,3,16.0,19.0,False
24.0,14,42716.37,110.0,27.08,1075.51,9.0,197.0,39.72,5.0,87.0,2,21.0,23.0,False
62.0,26,42426.35,197.0,94.51,2002.42,17.0,310.0,21.19,9.0,113.0,5,24.0,64.0,False
65.0,17,25107.55,154.0,108.84,1653.06,23.0,263.0,15.19,12.0,109.0,0,17.0,61.0,False
8.0,3,1269.25,37.0,25.9,181.32,1.0,49.0,7.0,1.0,12.0,0,7.0,6.0,False
18.0,12,3382.91,46.0,54.3,428.6,7.0,80.0,7.89,4.0,34.0,2,13.0,28.0,False
6.0,0,82.35,7.0,11.58,30.88,1.0,11.0,2.67,1.0,4.0,1,4.0,3.0,False
48.0,39,23143.92,149.0,114.37,1626.95,13.0,250.0,14.23,7.0,101.0,4,20.0,71.0,False
127.0,77,132838.37,486.0,214.24,5334.7,19.0,737.0,24.9,10.0,251.0,4,25.0,126.0,False
21.0,55,2991.43,49.0,51.3,391.73,7.0,77.0,7.64,4.0,28.0,0,12.0,22.0,False
32.0,12,24116.87,118.0,68.36,1284.0,3.0,214.0,18.78,2.0,96.0,1,18.0,46.0,False
41.0,40,16963.26,110.0,57.28,985.76,11.0,169.0,17.21,6.0,59.0,3,21.0,36.0,False
23.0,13,1858.26,34.0,30.19,236.84,9.0,51.0,7.85,5.0,17.0,1,12.0,13.0,False
8.0,7,869.68,26.0,28.75,158.12,3.0,36.0,5.5,2.0,10.0,0,11.0,10.0,False
25.0,7,7125.0,65.0,31.67,475.0,7.0,95.0,15.0,4.0,30.0,0,16.0,16.0,False
8.0,3,149.49,7.0,10.63,39.86,3.0,12.0,3.75,2.0,5.0,1,6.0,4.0,False
17.0,9,7799.92,66.0,36.74,535.29,5.0,102.0,14.57,3.0,36.0,2,17.0,21.0,False
38.0,12,20172.82,106.0,54.44,1047.94,9.0,176.0,19.25,5.0,70.0,2,22.0,40.0,False
31.0,23,12009.6,79.0,54.55,809.39,9.0,140.0,14.84,5.0,61.0,10,18.0,37.0,False
21.0,3,3185.02,35.0,30.24,310.34,7.0,61.0,10.26,4.0,26.0,0,15.0,19.0,False
21.0,3,3185.02,35.0,30.24,310.34,7.0,61.0,10.26,4.0,26.0,0,15.0,19.0,False
14.0,3,1074.39,14.0,8.88,97.67,3.0,25.0,11.0,2.0,11.0,0,10.0,5.0,False
6.0,0,200.76,11.0,16.39,57.36,1.0,16.0,3.5,1.0,5.0,0,7.0,5.0,False
29.0,6,11829.84,67.0,27.4,569.35,9.0,111.0,20.78,5.0,44.0,0,17.0,18.0,False
18.0,8,5919.2,56.0,35.6,459.04,5.0,91.0,12.89,3.0,35.0,1,14.0,19.0,False
55.0,17,35190.17,129.0,48.89,1311.63,21.0,217.0,26.83,11.0,88.0,0,25.0,41.0,False
47.0,14,14671.27,68.0,59.87,937.19,5.0,150.0,15.65,3.0,82.0,0,21.0,55.0,False
32.0,10,11393.4,58.0,21.82,498.55,11.0,95.0,22.85,6.0,37.0,2,21.0,17.0,False
32.0,22,166215.79,272.0,58.73,3124.36,5.0,538.0,53.2,3.0,266.0,3,16.0,40.0,False
38.0,10,22126.47,96.0,37.54,911.39,6.0,165.0,24.28,4.0,69.0,0,19.0,27.0,False
14.0,0,1838.97,38.0,36.78,260.06,3.0,56.0,7.07,2.0,18.0,0,11.0,14.0,False
60.0,39,47876.6,217.0,97.85,2164.46,9.0,331.0,22.12,5.0,114.0,9,26.0,67.0,False
10.0,5,765.75,18.0,20.41,125.02,1.0,32.0,6.13,1.0,14.0,0,7.0,8.0,False
16.0,9,3223.83,46.0,39.8,358.2,5.0,73.0,9.0,3.0,27.0,10,12.0,18.0,False
12.0,4,871.59,23.0,23.34,142.62,3.0,33.0,6.11,2.0,10.0,0,11.0,9.0,False
13.0,3,1676.34,27.0,18.1,174.17,3.0,41.0,9.63,2.0,14.0,0,11.0,8.0,False
16.0,5,1752.37,29.0,21.16,192.57,3.0,42.0,9.1,2.0,13.0,0,14.0,10.0,False
27.0,22,9456.28,66.0,28.78,521.73,7.0,95.0,18.12,4.0,29.0,3,25.0,20.0,False
31.0,19,10420.79,77.0,35.02,604.1,9.0,110.0,17.25,5.0,33.0,3,23.0,22.0,False
10.0,5,56.15,7.0,14.04,28.07,1.0,10.0,2.0,1.0,3.0,0,4.0,3.0,False
37.0,12,7919.03,61.0,30.93,494.94,9.0,93.0,16.0,5.0,32.0,2,20.0,20.0,False
8.0,2,67.5,6.0,10.8,27.0,1.0,9.0,2.5,1.0,3.0,0,5.0,3.0,False
8.0,6,834.61,22.0,21.8,134.89,1.0,33.0,6.19,1.0,11.0,0,9.0,8.0,False
9.0,5,1284.34,30.0,26.21,183.48,1.0,44.0,7.0,1.0,14.0,1,9.0,9.0,False
9.0,3,1160.35,25.0,17.05,140.65,1.0,36.0,8.25,1.0,11.0,0,9.0,6.0,False
7.0,2,56.15,6.0,8.98,22.46,1.0,8.0,2.5,1.0,2.0,0,5.0,2.0,False
26.0,5,6756.06,66.0,38.77,511.82,7.0,99.0,13.2,4.0,33.0,0,16.0,20.0,False
7.0,5,586.03,17.0,16.28,97.67,1.0,25.0,6.0,1.0,8.0,0,9.0,6.0,False
14.0,5,4767.45,57.0,27.99,365.32,1.0,86.0,13.05,1.0,29.0,0,9.0,10.0,False
