loc,lOBlank,e,total_Op,i,v,branchCount,n,d,v(g),total_Opnd,lOCode,uniq_Op,uniq_Opnd,defects
1.1,2,1.3,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.2,2,1.2,1.2,False
1.0,1,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1,1,1,1,True
72.0,8,23029.1,112,55.85,1134.13,13,198.0,20.31,7.0,86,51,17,36,True
190.0,28,74202.67,329,254.87,4348.76,5,600.0,17.06,3.0,271,129,17,135,True
37.0,6,10297.3,76,34.86,599.12,7,126.0,17.19,4.0,50,28,11,16,True
31.0,5,7135.87,69,47.55,582.52,3,111.0,12.25,2.0,42,19,14,24,True
78.0,0,0.0,0,0.0,0.0,17,0.0,0.0,9.0,0,0,0,0,True
8.0,1,142.01,9,18.11,50.72,1,16.0,2.8,1.0,7,5,4,5,True
24.0,0,0.0,0,0.0,0.0,3,0.0,0.0,2.0,0,0,0,0,True
143.0,0,0.0,0,0.0,0.0,43,0.0,0.0,22.0,0,0,0,0,True
73.0,0,0.0,0,0.0,0.0,19,0.0,0.0,10.0,0,0,0,0,True
83.0,0,0.0,0,0.0,0.0,21,0.0,0.0,11.0,0,0,0,0,True
12.0,2,1150.68,22,24.34,167.37,5,37.0,6.87,3.0,15,8,11,12,True
48.0,16,12067.3,87,40.1,695.61,7,129.0,17.35,4.0,42,29,19,23,True
68.0,0,0.0,0,0.0,0.0,15,0.0,0.0,8.0,0,0,0,0,True
138.0,0,0.0,0,0.0,0.0,43,0.0,0.0,22.0,0,0,0,0,True
10.0,6,54.0,5,13.5,27.0,1,9.0,2.0,1.0,4,2,4,4,True
250.0,17,938311.06,1081,99.72,9673.31,97,1469.0,97.0,49.0,388,139,32,64,True
77.0,16,47536.38,167,28.35,1160.84,15,284.0,40.95,8.0,117,59,7,10,True
85.0,14,55961.02,161,52.53,1714.58,13,277.0,32.64,9.0,118,69,26,47,True
110.0,14,69127.22,176,61.94,2069.26,33,322.0,33.41,17.0,146,81,27,59,True
49.0,13,23506.58,107,36.63,927.89,11,171.0,25.33,6.0,64,34,19,24,True
187.0,16,140300.03,299,77.45,3296.33,69,526.0,42.56,35.0,227,164,21,56,True
27.0,0,0.0,0,0.0,0.0,11,0.0,0.0,6.0,0,0,0,0,True
38.0,7,13824.9,72,32.8,673.36,15,145.0,20.53,8.0,73,29,9,16,True
294.0,26,237606.8,484,142.15,5811.59,85,814.0,40.88,43.0,330,223,28,113,True
29.0,6,5599.99,45,38.63,465.12,5,88.0,12.04,3.0,43,21,14,25,True
