loc,lOBlank,e,total_Op,i,v,branchCount,n,d,v(g),total_Opnd,lOCode,uniq_Op,uniq_Opnd,defects
1.1,2,1.3,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.2,2,1.2,1.2,False
1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,True
83.0,6,21378.61,107.0,40.27,927.89,21.0,171.0,23.04,11.0,64.0,65,18.0,25.0,True
46.0,5,11436.73,89.0,51.81,769.78,15.0,141.0,14.86,8.0,52.0,37,16.0,28.0,True
25.0,2,2381.95,41.0,27.25,254.75,5.0,58.0,9.35,3.0,17.0,21,11.0,10.0,True
43.0,4,6423.73,74.0,50.53,569.73,5.0,115.0,11.27,3.0,41.0,35,11.0,20.0,True
48.0,2,11596.34,95.0,48.72,751.61,11.0,149.0,15.43,6.0,54.0,41,12.0,21.0,True
69.0,2,33061.94,156.0,44.45,1212.27,23.0,231.0,27.27,12.0,75.0,62,16.0,22.0,True
47.0,1,12069.0,95.0,45.99,745.0,11.0,149.0,16.2,6.0,54.0,41,12.0,20.0,True
48.0,1,14278.39,99.0,44.97,801.34,13.0,155.0,17.82,7.0,56.0,42,14.0,22.0,True
58.0,2,21261.63,124.0,49.62,1027.13,17.0,193.0,20.7,9.0,69.0,50,15.0,25.0,True
65.0,5,15808.22,93.0,40.62,801.34,11.0,155.0,19.73,6.0,62.0,54,14.0,22.0,True
116.0,12,45222.23,177.0,63.91,1700.08,21.0,289.0,26.6,11.0,112.0,88,19.0,40.0,True
24.0,0,3953.7,43.0,30.6,347.83,7.0,74.0,11.37,4.0,31.0,20,11.0,15.0,True
77.0,7,36434.54,153.0,42.59,1245.63,37.0,231.0,29.25,19.0,78.0,61,18.0,24.0,True
9.0,0,163.12,8.0,13.32,46.6,1.0,13.0,3.5,1.0,5.0,5,7.0,5.0,True
16.0,1,1040.96,24.0,35.32,191.76,3.0,43.0,5.43,2.0,19.0,13,8.0,14.0,True
93.0,15,44757.43,162.0,50.21,1499.05,12.0,257.0,29.86,7.0,95.0,71,22.0,35.0,True
23.0,1,1454.65,44.0,64.87,307.19,1.0,67.0,4.74,1.0,23.0,18,7.0,17.0,True
30.0,1,286.12,5.0,25.75,85.84,1.0,21.0,3.33,1.0,16.0,18,5.0,12.0,True
30.0,0,4212.0,28.0,2.77,108.0,1.0,54.0,39.0,1.0,26.0,28,3.0,1.0,True
35.0,3,6889.27,69.0,40.76,529.94,5.0,108.0,13.0,3.0,39.0,30,12.0,18.0,True
25.0,3,3145.3,33.0,17.26,232.99,7.0,57.0,13.5,4.0,24.0,20,9.0,8.0,True
20.0,1,2307.76,31.0,25.13,240.81,13.0,54.0,9.58,7.0,23.0,14,10.0,12.0,True
119.0,6,49320.73,190.0,52.25,1605.28,27.0,289.0,30.72,14.0,99.0,85,18.0,29.0,True
35.0,2,5182.54,47.0,25.32,362.22,7.0,78.0,14.31,4.0,31.0,31,12.0,13.0,True
33.0,1,4853.18,44.0,23.08,334.7,7.0,73.0,14.5,4.0,29.0,30,12.0,12.0,True
17.0,3,592.07,17.0,14.45,92.51,3.0,25.0,6.4,2.0,8.0,12,8.0,5.0,True
44.0,2,9661.93,87.0,37.74,603.87,5.0,127.0,16.0,3.0,40.0,38,12.0,15.0,True
84.0,10,34029.33,141.0,53.35,1347.34,29.0,230.0,25.26,15.0,89.0,72,21.0,37.0,True
56.0,4,10838.4,96.0,54.62,769.39,5.0,150.0,14.09,3.0,54.0,43,12.0,23.0,True
58.0,3,21346.25,121.0,48.4,1016.49,5.0,191.0,21.0,3.0,70.0,46,15.0,25.0,True
78.0,6,21062.86,127.0,67.19,1189.6,13.0,213.0,17.71,7.0,86.0,66,14.0,34.0,True
75.0,5,39470.86,161.0,46.62,1356.57,15.0,250.0,29.1,8.0,89.0,63,17.0,26.0,True
12.0,3,253.69,14.0,22.83,76.11,1.0,22.0,3.33,1.0,8.0,6,5.0,6.0,True
11.0,2,253.69,14.0,22.83,76.11,1.0,22.0,3.33,1.0,8.0,6,5.0,6.0,True
69.0,6,26476.59,124.0,42.36,1059.06,19.0,199.0,25.0,10.0,75.0,54,16.0,24.0,True
39.0,1,5016.67,56.0,36.86,430.0,8.0,86.0,11.67,5.0,30.0,33,14.0,18.0,True
53.0,0,5594.49,76.0,60.05,579.61,8.0,113.0,9.65,5.0,37.0,47,12.0,23.0,True
52.0,1,5344.61,71.0,55.44,544.36,8.0,107.0,9.82,5.0,36.0,46,12.0,22.0,True
30.0,2,4124.97,44.0,26.4,330.0,3.0,74.0,12.5,2.0,30.0,24,10.0,12.0,True
27.0,3,2805.82,46.0,55.59,394.95,5.0,77.0,7.1,3.0,31.0,22,11.0,24.0,True
47.0,2,6323.86,52.0,43.58,525.0,13.0,105.0,12.05,7.0,53.0,43,10.0,22.0,True
49.0,3,6755.1,54.0,45.58,554.88,13.0,110.0,12.17,7.0,56.0,44,10.0,23.0,True
7.0,0,150.57,8.0,16.73,50.19,1.0,14.0,3.0,1.0,6.0,4,6.0,6.0,True
66.0,5,18860.59,117.0,45.08,922.07,23.0,177.0,20.45,12.0,60.0,55,15.0,22.0,True
14.0,2,666.77,19.0,21.07,118.54,1.0,29.0,5.63,1.0,10.0,7,9.0,8.0,True
29.0,1,2757.59,39.0,32.82,300.83,5.0,64.0,9.17,3.0,25.0,25,11.0,15.0,True
6.0,0,121.08,8.0,19.37,48.43,1.0,14.0,2.5,1.0,6.0,4,5.0,6.0,True
12.0,0,738.4,24.0,26.79,140.65,1.0,36.0,5.25,1.0,12.0,9,7.0,8.0,True
38.0,6,9342.72,71.0,36.49,583.92,13.0,119.0,16.0,7.0,48.0,30,12.0,18.0,True
132.0,22,60862.61,192.0,69.24,2052.76,31.0,322.0,29.65,16.0,130.0,101,26.0,57.0,True
26.0,0,4935.43,48.0,35.53,418.76,7.0,81.0,11.79,4.0,33.0,24,15.0,21.0,True
56.0,5,13042.34,109.0,74.95,988.72,9.0,178.0,13.19,5.0,69.0,48,13.0,34.0,True
21.0,0,2265.23,45.0,58.93,365.36,1.0,76.0,6.2,1.0,31.0,14,8.0,20.0,True
43.0,10,9619.48,59.0,26.93,508.97,11.0,95.0,18.9,6.0,36.0,30,21.0,20.0,True
12.0,0,1954.18,26.0,20.27,199.04,7.0,44.0,9.82,4.0,18.0,10,12.0,11.0,True
11.0,1,593.95,17.0,16.5,98.99,1.0,26.0,6.0,1.0,9.0,8,8.0,6.0,True
26.0,3,2284.41,41.0,44.72,319.63,3.0,68.0,7.15,2.0,27.0,21,9.0,17.0,True
80.0,10,47016.12,167.0,57.05,1637.77,21.0,274.0,28.71,11.0,107.0,66,22.0,41.0,True
63.0,7,26025.75,112.0,43.95,1069.55,15.0,185.0,24.33,8.0,73.0,52,22.0,33.0,True
10.0,0,1123.8,16.0,6.82,87.57,3.0,23.0,12.83,2.0,7.0,8,11.0,3.0,True
9.0,0,723.9,17.0,23.08,129.27,3.0,31.0,5.6,2.0,14.0,6,8.0,10.0,True
35.0,3,9158.6,55.0,22.01,448.95,9.0,89.0,20.4,5.0,34.0,29,18.0,15.0,True
9.0,0,231.28,17.0,37.0,92.51,1.0,25.0,2.5,1.0,8.0,7,5.0,8.0,True
16.0,1,1880.19,25.0,9.94,136.74,3.0,35.0,13.75,2.0,10.0,11,11.0,4.0,True
5.0,0,105.28,7.0,7.49,28.07,1.0,10.0,3.75,1.0,3.0,3,5.0,2.0,True
16.0,1,500.08,20.0,23.93,109.39,3.0,28.0,4.57,1.0,8.0,11,8.0,7.0,True
4.0,0,58.95,6.0,6.55,19.65,1.0,7.0,3.0,1.0,1.0,2,6.0,1.0,True
12.0,0,304.49,16.0,25.9,88.81,3.0,24.0,3.43,2.0,8.0,8,6.0,7.0,True
8.0,0,388.55,11.0,14.1,74.01,3.0,20.0,5.25,2.0,9.0,5,7.0,6.0,True
4.0,0,23.22,4.0,5.8,11.61,1.0,5.0,2.0,1.0,1.0,2,4.0,1.0,True
14.0,0,831.38,18.0,17.59,120.93,3.0,29.0,6.87,2.0,11.0,11,10.0,8.0,True
56.0,14,4031.36,56.0,71.67,537.51,5.0,101.0,7.5,3.0,45.0,33,10.0,30.0,True
30.0,4,2280.63,35.0,27.14,248.8,3.0,55.0,9.17,2.0,20.0,21,11.0,12.0,True
52.0,2,33247.47,147.0,62.43,1440.72,15.0,247.0,23.08,8.0,100.0,45,18.0,39.0,True
41.0,2,10553.84,68.0,31.0,572.02,11.0,109.0,18.45,6.0,41.0,35,18.0,20.0,True
4.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1.0,0.0,True
15.0,3,355.53,18.0,29.02,101.58,1.0,26.0,3.5,1.0,8.0,8,7.0,8.0,True
9.0,0,367.69,19.0,31.28,107.24,1.0,31.0,3.43,1.0,12.0,7,4.0,7.0,True
5.0,0,72.0,6.0,8.0,24.0,1.0,8.0,3.0,1.0,2.0,3,6.0,2.0,True
25.0,2,2008.94,39.0,47.55,309.07,1.0,65.0,6.5,1.0,26.0,13,9.0,18.0,True
45.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,True
4.0,0,12.0,3.0,5.33,8.0,1.0,4.0,1.5,1.0,1.0,2,3.0,1.0,True
23.0,1,4490.66,44.0,22.33,316.65,5.0,70.0,14.18,3.0,26.0,18,12.0,11.0,True
14.0,0,566.52,21.0,32.11,134.89,1.0,33.0,4.2,1.0,12.0,10,7.0,10.0,True
18.0,2,1504.29,24.0,16.18,156.0,3.0,39.0,9.64,2.0,15.0,14,9.0,7.0,True
40.0,2,8265.25,68.0,35.93,544.96,7.0,110.0,15.17,4.0,42.0,31,13.0,18.0,True
24.0,1,5143.96,50.0,26.83,371.51,5.0,80.0,13.85,3.0,30.0,18,12.0,13.0,True
52.0,2,10902.2,83.0,41.29,670.9,11.0,133.0,16.25,6.0,50.0,43,13.0,20.0,True
11.0,1,207.22,9.0,12.95,51.81,1.0,14.0,4.0,1.0,5.0,6,8.0,5.0,True
